t (s),RPM,Torque,Power (W),N_Re,N_Po
63.22333884239197,606.279564,0.0,0.0,45178.73893663354,0.0
63.32523155212402,610.255758,0.0,0.0,45475.03695054352,0.0
63.42777490615845,606.529573,0.0,0.0,45197.36910663018,0.0
63.53136420249939,606.267802,0.0,0.0,45177.86245594884,0.0
63.634257555007935,607.093207,0.0,0.0,45239.36998354216,0.0
63.73708939552307,609.179262,0.0,0.0,45394.818624480446,0.0
63.83993196487427,608.1159,0.0,0.0,45315.579017794415,0.0
63.94311475753784,607.485146,0.0,0.0,45268.57649290107,0.0
64.04611015319824,608.195256,0.0,0.0,45321.49246799122,0.0
64.14928078651428,609.91475,0.0,0.0,45449.62571730706,0.0
64.34648156166077,503.789324,0.0,0.0,37541.37150507532,0.0
64.44973254203796,283.407881,0.0,0.0,21118.987722112142,0.0
64.55159449577332,87.494931,0.0,0.0,6519.947035403893,0.0
64.65311789512634,18.799921,0.0,0.0,1400.932463044944,0.0
64.75484657287598,3.701223,0.0,0.0,275.80772566377243,0.0
64.85672664642334,0.728676,0.0,0.0,54.29947622874253,0.0
64.95863056182861,0.143458,0.0,0.0,10.690202862208917,0.0
65.06000447273254,0.028243,0.0,0.0,2.1046117988356623,0.0
65.16211128234863,0.00556,0.0,0.0,0.4143200652029275,0.0
65.26411747932434,0.001095,0.0,0.0,0.08159720708582835,0.0
65.46606016159058,0.000216,0.0,0.0,0.0160958874251497,0.0
65.56705522537231,4.2e-05,0.0,0.0,0.003129755888223553,0.0
65.66779351234436,8e-06,0.0,0.0,0.0005961439787092482,0.0
65.76865553855896,2e-06,0.0,0.0,0.00014903599467731206,0.0
65.86958980560303,0.0,0.0,0.0,0.0,0.0
65.97106623649597,0.0,0.0,0.0,0.0,0.0
66.07261037826538,40.214707,0.0,0.0,2996.7194292008317,0.0
66.17357754707336,120.549727,0.0,0.0,8983.124235761712,0.0
66.27487850189209,147.686314,0.0,0.0,11005.288353607919,0.0
66.3765561580658,156.276292,0.0,0.0,11645.396311351034,0.0
66.54350876808167,159.987514,0.0,0.0,11921.949142470196,0.0
66.64469599723816,161.583055,0.0,0.0,12040.84566246191,0.0
66.74577784538269,161.800689,0.0,0.0,12057.063312294711,0.0
66.84696936607361,164.122773,0.0,0.0,12230.100361626848,0.0
66.94795417785645,166.394276,0.0,0.0,12399.368216135597,0.0
67.04944181442261,170.173533,0.0,0.0,12680.990879203695,0.0
67.15058779716492,171.066872,0.0,0.0,12747.56071242821,0.0
67.25177764892578,173.421928,0.0,0.0,12923.054769168597,0.0
67.35287380218506,174.054106,0.0,0.0,12970.163407690152,0.0
67.4539897441864,174.336816,0.0,0.0,12991.230390717768,0.0
67.62124848365784,173.085461,0.0,0.0,12897.981922158053,0.0
67.72240972518921,174.547841,0.0,0.0,13006.955551106155,0.0
67.8236255645752,174.111994,0.0,0.0,12974.477105520096,0.0
67.92453789710999,174.056065,0.0,0.0,12970.30938844694,0.0
68.02603483200073,169.823136,0.0,0.0,12654.879996490221,0.0
68.12709975242615,163.326093,0.0,0.0,12170.733363507085,0.0
68.228346824646,162.654253,0.0,0.0,12120.669192175086,0.0
68.32961249351501,163.742304,0.0,0.0,12201.748573697405,0.0
68.43077874183655,166.36771,0.0,0.0,12397.388571018297,0.0
68.53198838233948,167.736413,0.0,0.0,12499.38157752971,0.0
68.69900274276733,168.041063,0.0,0.0,12522.083485418932,0.0
68.80015778541565,170.607432,0.0,0.0,12713.32416373094,0.0
68.90144872665405,169.717401,0.0,0.0,12647.000836041618,0.0
69.00227618217468,171.987681,0.0,0.0,12816.177555039623,0.0
69.10360312461853,172.266191,0.0,0.0,12836.93156247841,0.0
69.20451235771179,173.836537,0.0,0.0,12953.95060152718,0.0
69.30571341514587,174.088489,0.0,0.0,12972.72555999265,0.0
69.40678215026855,174.081358,0.0,0.0,12972.194172153628,0.0
69.50796365737915,174.066795,0.0,0.0,12971.108966558386,0.0
69.60904860496521,172.92959,0.0,0.0,12886.366727394878,0.0
69.77672576904297,175.67513,0.0,0.0,13090.958869808052,0.0
69.87790966033936,173.847835,0.0,0.0,12954.792505861114,0.0
69.9789047241211,174.979685,0.0,0.0,13039.135701148869,0.0
70.08025813102722,174.117153,0.0,0.0,12974.861543868365,0.0
70.18127822875977,174.566418,0.0,0.0,13008.339871942715,0.0
