Sampling Window (ms),PWM (%),Comparison,Mean RPM Difference,SD Difference (RPM),CV Difference (%),Revolution Difference
10,40,256 PPR - 125 PPR,-5.040800893749974,3.59088342886065,0.36496988731909785,0
10,40,200 PPR - 192 PPR,-9.554609845000073,0.7061892900922473,0.08422628364912521,-3
10,40,250 PPR - 192 PPR,-12.773524355000177,1.898932092215551,0.20885348965402506,-3
10,40,256 PPR - 192 PPR,-5.30143905500006,3.4550612133994267,0.35186523033919404,-1
10,40,250 PPR - 200 PPR,-3.218914510000104,1.1927428021233037,0.12462720600489985,0
10,40,256 PPR - 200 PPR,4.253170790000013,2.7488719233071794,0.2676389466900688,2
10,40,256 PPR - 250 PPR,7.472085300000117,1.5561291211838757,0.14301174068516898,2
10,50,96 PPR - 48 PPR,14.344745781249912,1.3489544476498239,0.09088578905704936,1
10,50,100 PPR - 48 PPR,24.902704098750064,-0.10198192071441525,-0.03639743439034593,3
10,50,125 PPR - 48 PPR,26.17565600124999,0.72293376977413,0.027227824150485302,2
10,50,192 PPR - 48 PPR,24.65547281499994,-0.513038553451338,-0.06856965036155382,3
10,50,200 PPR - 48 PPR,15.78867164999997,2.750449026103084,0.2005320299788531,2
10,50,250 PPR - 48 PPR,10.350666498749888,5.1166508051489075,0.3965735303245881,0
10,50,256 PPR - 48 PPR,20.27965454125001,2.2303947611168056,0.1534948749641294,2
10,50,100 PPR - 96 PPR,10.557958317500152,-1.4509363683642391,-0.1272832234473953,2
10,50,125 PPR - 96 PPR,11.830910220000078,-0.6260206778756938,-0.06365796490656406,1
10,50,192 PPR - 96 PPR,10.310727033750027,-1.8619930011011618,-0.15945543941860318,2
10,50,200 PPR - 96 PPR,1.443925868750057,1.40149457845326,0.10964624092180375,1
10,50,250 PPR - 96 PPR,-3.9940792825000244,3.7676963574990836,0.3056877412675387,-1
10,50,256 PPR - 96 PPR,5.9349087600000985,0.8814403134669817,0.06260908590708003,1
10,50,125 PPR - 100 PPR,1.2729519024999263,0.8249156904885453,0.06362525854083123,-1
10,50,192 PPR - 100 PPR,-0.24723128375012493,-0.4110566327369227,-0.032172215971207896,0
10,50,200 PPR - 100 PPR,-9.114032448750095,2.852430946817499,0.23692946436919904,-1
10,50,250 PPR - 100 PPR,-14.552037600000176,5.218632725863323,0.432970964714934,-3
10,50,256 PPR - 100 PPR,-4.623049557500053,2.332376681831221,0.18989230935447532,-1
10,50,192 PPR - 125 PPR,-1.5201831862500512,-1.235972323225468,-0.09579747451203913,1
10,50,200 PPR - 125 PPR,-10.386984351250021,2.027515256328954,0.1733042058283678,0
10,50,250 PPR - 125 PPR,-15.824989502500102,4.393717035374777,0.3693457061741028,-2
