PPR,Sampling Window (ms),PWM (%),Settled Interval,Samples,Mean RPM,Median RPM,Standard Deviation (RPM),Coefficient of Variation (%),Minimum RPM,Maximum RPM,Filtered Mean RPM,Filtered SD (RPM),Revolution Increment,File
96,20,60,60+1 to 60+9 s,800,1520.56096523125,1520.201588,13.259497014738814,0.8720135080359822,1436.662282,1561.495646,1520.5595176574998,4.163088275092435,203,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,70,70+1 to 70+9 s,800,1777.29692735875,1774.568541,18.026815353085517,1.0142827051344345,1707.101116,1844.130256,1777.312584475,5.673112617947078,236,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,80,80+1 to 80+9 s,800,2033.78155688125,2032.2907559999999,18.33481543196618,0.9015135066954847,1948.239334,2088.530597,2033.7541680049999,5.870358450514903,271,mixr1_log_20260902_140019_96ppr_20ms.csv
96,20,90,90+1 to 90+9 s,800,2287.6304084662497,2283.798054,23.67121584361606,1.0347482598592714,2213.3263,2378.159735,2287.6132747737497,7.480797764049934,307,mixr1_log_20260902_140019_96ppr_20ms.csv
100,10,0,0+1 to 0+9 s,800,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,10,10+1 to 10+9 s,800,220.20870412124998,224.615604,17.03031486916571,7.733715584552272,164.944018,254.998802,220.11523418375,8.93051736338667,29,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,20,20+1 to 20+9 s,800,485.56794017749996,487.370521,13.021436161211636,2.6816919083355533,434.97986,524.933491,485.5433420125,3.545784948646938,65,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,30,30+1 to 30+9 s,800,745.5493327974999,746.899759,13.099976025925686,1.7570904364934623,674.975296,792.905834,745.568677915,3.2551834522545717,99,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,40,40+1 to 40+9 s,800,1007.5771388012499,1006.920647,14.25637014723084,1.4149159998004863,914.441094,1079.97948,1007.5909690049999,3.394221592226999,134,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,50,50+1 to 50+9 s,800,1267.1178678675,1267.182104,17.816720770104986,1.4060823560234132,1181.884552,1339.843983,1267.14416655875,4.393074797866244,169,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,60,60+1 to 60+9 s,800,1526.71962221375,1527.578621,17.472549348036516,1.1444504343699498,1409.988579,1619.890196,1526.7358712850003,4.758550628744576,204,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,70,70+1 to 70+9 s,800,1785.7200854325001,1784.689107,23.188144937110994,1.2985318990515158,1649.714599,1874.977688,1785.68594357125,5.852054808796047,238,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,80,80+1 to 80+9 s,800,2044.8035326087497,2039.847659,29.67350114107558,1.4511663672264044,1889.998488,2159.391268,2044.81802365125,7.648126573432475,273,mixr1_log_20260902_142240_100ppr_10ms.csv
100,10,90,90+1 to 90+9 s,800,2300.6387967912506,2294.9201365,32.47852666659595,1.4117177677736477,2099.884716,2446.800959,2300.6973647625,8.11805576397892,307,mixr1_log_20260902_142240_100ppr_10ms.csv
